Timestamp,BATTERY_HEALTH_COLD,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_LEVEL
1701263715453,-2147483648,-806151,18
1701263715556,-2147483648,-806151,18
1701263715658,-2147483648,-806151,18
1701263715763,-2147483648,-806151,18
1701263715865,-2147483648,-806151,18
1701263715967,-2147483648,-806151,18
1701263716071,-2147483648,-806151,18
1701263716174,-2147483648,-806151,18
1701263716278,-2147483648,-806151,18
1701263716380,-2147483648,-806151,18
1701263716484,-2147483648,-863280,18
1701263716586,-2147483648,-863280,18
1701263716690,-2147483648,-863280,18
1701263716794,-2147483648,-863280,18
1701263716896,-2147483648,-863280,18
1701263717000,-2147483648,-863280,18
1701263717103,-2147483648,-863280,18
1701263717206,-2147483648,-863280,18
1701263717309,-2147483648,-863280,18
1701263717412,-2147483648,-863280,18
1701263717516,-2147483648,-888671,18
1701263717619,-2147483648,-888671,18
1701263717722,-2147483648,-888671,18
1701263717825,-2147483648,-888671,18
1701263717927,-2147483648,-888671,18
1701263718033,-2147483648,-888671,18
1701263718136,-2147483648,-888671,18
1701263718239,-2147483648,-888671,18
1701263718342,-2147483648,-888671,18
1701263718445,-2147483648,-830565,18
1701263718548,-2147483648,-830565,18
1701263718651,-2147483648,-830565,18
1701263718755,-2147483648,-830565,18
1701263718857,-2147483648,-830565,18
1701263718960,-2147483648,-830565,18
1701263719063,-2147483648,-830565,18
1701263719166,-2147483648,-830565,18
1701263719269,-2147483648,-830565,18
1701263719373,-2147483648,-830565,18
1701263719476,-2147483648,-849120,18
1701263719579,-2147483648,-849120,18
1701263719681,-2147483648,-849120,18
1701263719785,-2147483648,-849120,18
1701263719887,-2147483648,-849120,18
1701263719990,-2147483648,-849120,18
1701263720094,-2147483648,-849120,18
1701263720197,-2147483648,-849120,18
1701263720300,-2147483648,-849120,18
1701263720403,-2147483648,-849120,18
1701263720506,-2147483648,-881835,18
1701263720609,-2147483648,-881835,18
1701263720713,-2147483648,-881835,18
1701263720817,-2147483648,-881835,18
1701263720919,-2147483648,-881835,18
1701263721022,-2147483648,-881835,18
1701263721125,-2147483648,-881835,18
1701263721227,-2147483648,-881835,18
1701263721339,-2147483648,-881835,18
1701263721443,-2147483648,-887206,18
1701263721546,-2147483648,-887206,18
1701263721650,-2147483648,-887206,18
1701263721753,-2147483648,-887206,18
1701263721856,-2147483648,-887206,18
1701263721959,-2147483648,-887206,18
1701263722062,-2147483648,-887206,18
1701263722165,-2147483648,-887206,18
1701263722267,-2147483648,-887206,18
1701263722371,-2147483648,-887206,18
1701263722475,-2147483648,-889159,18
1701263722578,-2147483648,-889159,18
1701263722681,-2147483648,-889159,18
1701263722784,-2147483648,-889159,18
1701263722887,-2147483648,-889159,18
1701263722990,-2147483648,-889159,18
1701263723094,-2147483648,-889159,18
1701263723198,-2147483648,-889159,18
1701263723301,-2147483648,-889159,18
1701263723405,-2147483648,-889159,18
1701263723507,-2147483648,-871581,18
1701263723612,-2147483648,-871581,18
1701263723715,-2147483648,-871581,18
1701263723818,-2147483648,-871581,18
1701263723921,-2147483648,-871581,18
1701263724024,-2147483648,-871581,18
1701263724127,-2147483648,-871581,18
1701263724230,-2147483648,-871581,18
1701263724334,-2147483648,-871581,18
1701263724438,-2147483648,-867187,18
1701263724541,-2147483648,-867187,18
1701263724644,-2147483648,-867187,18
1701263724746,-2147483648,-867187,18
1701263724851,-2147483648,-867187,18
1701263724954,-2147483648,-867187,18
1701263725057,-2147483648,-867187,18
1701263725161,-2147483648,-867187,18
1701263725263,-2147483648,-867187,18
1701263725366,-2147483648,-867187,18
1701263725469,-2147483648,-901366,18
1701263725571,-2147483648,-901366,18
1701263725676,-2147483648,-901366,18
1701263725778,-2147483648,-901366,18
1701263725883,-2147483648,-901366,18
1701263725985,-2147483648,-901366,18
1701263726088,-2147483648,-901366,18
1701263726192,-2147483648,-901366,18
1701263726295,-2147483648,-901366,18
1701263726398,-2147483648,-863280,18
1701263726501,-2147483648,-863280,18
1701263726604,-2147483648,-863280,18
1701263726707,-2147483648,-863280,18
1701263726810,-2147483648,-863280,18
1701263726915,-2147483648,-863280,18
1701263727018,-2147483648,-863280,18
1701263727122,-2147483648,-863280,18
1701263727224,-2147483648,-863280,18
1701263727327,-2147483648,-863280,18
1701263727430,-2147483648,-840331,18
1701263727534,-2147483648,-840331,18
1701263727638,-2147483648,-840331,18
1701263727740,-2147483648,-840331,18
1701263727843,-2147483648,-840331,18
1701263727946,-2147483648,-840331,18
1701263728048,-2147483648,-840331,18
1701263728153,-2147483648,-840331,18
1701263728256,-2147483648,-840331,18
1701263728359,-2147483648,-840331,18
1701263728462,-2147483648,-888183,18
1701263728564,-2147483648,-888183,18
1701263728668,-2147483648,-888183,18
1701263728775,-2147483648,-888183,18
